matched term,file name,match line number,correct option,incorrect option,target,token,unique id,child,interaction,context pre 1,context pre 2,context pre 3,context pre 4,context pre 5,context pre 6,context pre 7,context pre 8,context pre 9,context pre 10,matched line,context post 1,context post 2,Sample Set,factors
"Martin, did you tell Daddy who was working in the kitchen today?",martin dinner.cha,n/a,tell,say,tell,tell,30.01,martin,dinner,MOTHER: \t you ate it.,"MOTHER: \t Martin, Daddy's eating your scallops!",FATHER: \t yum yum yum yum yum.,CHILD: \t Daddy eating my dinner.,"MOTHER: \t [laugh] well, that's silly.","MOTHER: \t say, ""don't do that, Daddy.""","FATHER: \t oh, here it goes... here it goes unless...",FATHER: \t up! [point],MOTHER: \t hmm...,CHILD: \t hmm...,"MOTHER: \t Martin, did you tell Daddy who was working in the kitchen today?",CHILD: \t naa man...,FATHER: \t Nanny?,n/a,verb
cause last time I thought they were good.,martin dinner.cha,n/a,good,bad,good,good,30.02,martin,dinner,CHILD: \t [noise],CHILD: \t [noise],FATHER: \t it's a very sensible system.,CHILD: \t I want lie on my hand.,FATHER: \t what happened to that towel I gave you?,MOTHER: \t here it is.,MOTHER: \t I don't like these cupcakes.,MOTHER: \t do you?,"FATHER: \t I... I'm not fond of them either, no.",FATHER: \t why'd you buy them?,MOTHER: \t cause last time I thought they were good.,"FATHER: \t yeah, I like those.",MOTHER: \t [noise],n/a,adjective
first we gotta put away the dishes from dinner.,martin dinner.cha,n/a,from,to,from,from,30.03,martin,dinner,"MOTHER: \t you know what we're gonna have for dinner... I mean, for dessert?",MOTHER: \t cupcakes.,CHILD: \t yeah.,MOTHER: \t do you like that?,CHILD: \t yeah!,MOTHER: \t knew you would.,CHILD: \t where are the cupcakes?,MOTHER: \t we're gonna have them for dessert.,CHILD: \t I'm gonna have cupcake!,CHILD: \t I...,MOTHER: \t first we gotta put away the dishes from dinner.,MOTHER: \t and then we're gonna clean it up.,MOTHER: \t then have dessert. [cough],n/a,preposition
