ï»¿matched term,file name,match line number,know option,think option,verb,token,force,comp,subj,unique id,verb in prior context,child,interaction,context pre 1,context pre 2,context pre 3,context pre 4,context pre 5,context pre 6,context pre 7,context pre 8,context pre 9,context pre 10,matched line,context post 1,context post 2,Sample Set,factors,Factors
she knows I'm going away.,victor dinner.cha,3667,knows,thinks,know,knows,declarative,declarative,3,1.001,no,victor,dinner,MOTHER: \t you [noise] can do that but the next week I will not be here.,MOTHER: \t I will be on the vineyard.,FATHER: \t [noise],MOTHER: \t and I have him.,MOTHER: \t I come back Saturday.,CHILD: \t eee!,FATHER: \t [throat clear],FATHER: \t that's convenient. [laugh],MOTHER: \t [laugh],MOTHER: \t um Alice might keep him.,MOTHER: \t she knows I'm going away.,MOTHER: \t she's agreed to... help out.,MOTHER: \t or whatever.,666,know-declarative-declarative,know-declarative-declarative
no ya know Daddy wasn't home.,eddie dinner.cha,992,know,think,know,know,declarative,declarative,2,1.002,no,eddie,dinner,MOTHER: \t [noise],MOTHER: \t did you tell Daddy who had supper with us last night?,MOTHER: \t [noise],MOTHER: \t who ate here last night?,FATHER: \t I didn't see you last night.,CHILD: \t Uncle Allen.,FATHER: \t Allen who?,CHILD: \t Allen Reed.,FATHER: \t okay.,FATHER: \t I didn't see you last night.,MOTHER: \t no ya know Daddy wasn't home.,FATHER: \t tell me what you did last night.,"MOTHER: \t tell him, yeah tell him what happened.",666,know-declarative-declarative,know-declarative-declarative
"I know you're finished, Rachi.",john dinner.cha,2188,know,think,know,know,declarative,declarative,1,1.003,yes,john,dinner,MOTHER: \t Jimmy Carter would win.,FATHER: \t I just wanted to make sure last time...,MOTHER: \t that what?,SISTER: \t I going in there.,MOTHER: \t I don't think so.,MOTHER: \t because they're working in there.,MOTHER: \t and they don't want you to come there now.,MOTHER: \t after when they're finished you can come there.,FATHER: \t they will be happy to have you...,SISTER: \t and me finished.,"MOTHER: \t I know you're finished, Rachi.",SISTER: \t [noise] please.,MOTHER: \t how about something else?,666,know-declarative-declarative,know-declarative-declarative
and I know you like little books.,victor mothertoy.cha,1812,know,think,know,know,declarative,declarative,1,1.004,no,victor,mother,MOTHER: \t may I see?,CHILD: \t don't take a peek.,MOTHER: \t [laugh] take a peek?,CHILD: \t no.,MOTHER: \t don't take a peek.,MOTHER: \t would you like a story?,"CHILD: \t what, Mama?",MOTHER: \t would you like a story?,CHILD: \t yeah.,MOTHER: \t I saw a little tiny book over here.,MOTHER: \t and I know you like little books.,CHILD: \t where?,MOTHER: \t over here.,666,know-declarative-declarative,know-declarative-declarative
I know you have Rice Krispies here in the store someplace.,david mothertoy.cha,315,know,think,know,know,declarative,declarative,1,1.005,no,david,mother,MOTHER: \t you're trying to make me buy everything.,CHILD: \t no.,CHILD: \t no.,CHILD: \t because that's what you have to have.,MOTHER: \t okay.,MOTHER: \t Mr Storeman.,"MOTHER: \t there's one thing that I really, really, really want.",MOTHER: \t and I would really appreciate it if you would get it for me.,CHILD: \t what is that?,MOTHER: \t and that's some Rice Krispies.,MOTHER: \t I know you have Rice Krispies here in the store someplace.,MOTHER: \t can you find me some?,CHILD: \t I don't have any.,666,know-declarative-declarative,know-declarative-declarative
I know you don't.,helen dinner.cha,526,know,think,know,know,declarative,declarative,1,1.006,no,helen,dinner,MOTHER: \t when is the corn gonna be ready?,CHILD: \t yeah.,"MOTHER: \t oh, in about ten minutes.","CHILD: \t Mommy, I want some more soup.",MOTHER: \t you do?,"MOTHER: \t alright here, I'll give you some of mine, okay?","SISTER: \t Ma, I don't want any more.","FATHER: \t you can have some more carrots, too.",MOTHER: \t oh.,SISTER: \t I don't want any more.,MOTHER: \t I know you don't.,MOTHER: \t it's alright. [noise],"CHILD: \t thank you, Daddy.",666,know-declarative-declarative,know-declarative-declarative
I know you do.,victor mothertoy.cha,195,know,think,know,know,declarative,declarative,1,1.008,no,victor,mother,CHILD: \t soup?,MOTHER: \t maybe.,MOTHER: \t soup.,CHILD: \t soup.,CHILD: \t what's this?,MOTHER: \t that is...,CHILD: \t what?,MOTHER: \t stuff you put in milk.,MOTHER: \t it's terrible it's all sugar.,CHILD: \t I like sugar.,MOTHER: \t I know you do.,"CHILD: \t what's this, Mama?",MOTHER: \t that you know.,666,know-declarative-declarative,know-declarative-declarative
"oh yeah, I know that's a lot of good stuff in there.",katie dinner.cha,2081,know,think,know,know,declarative,declarative,1,1.013,no,katie,dinner,MOTHER: \t we're not gonna eat here so you can have a...,AUNT: \t [noise] left over night is the night you guys go out. [laugh],FATHER: \t gonna finish your muffin?,"AUNT: \t no, I'll...",MOTHER: \t give  her time.,MOTHER: \t give her time.,AUNT: \t I like leftovers.,"MOTHER: \t well, there's  there's [noise] and there's macaroni.",CHILD: \t mm.,CHILD: \t mm.,"AUNT: \t oh yeah, I know that's a lot of good stuff in there.",AUNT: \t it's okay.,"AUNT: \t Katie, it's left over night.",666,know-declarative-declarative,know-declarative-declarative
"I know one of the wheels goes in here, right? ",andy fathertoy.cha,1072,know,think,know,know,declarative,declarative,1,1.014,no,andy,father,FATHER: \t yeah. ,FATHER: \t you're right. ,FATHER: \t does this red fellow go here? ,FATHER: \t no. ,FATHER: \t [noise],CHILD: \t where is my place? ,FATHER: \t [noise],CHILD: \t where's my place? ,FATHER: \t well I know one thing. ,CHILD: \t what? ,"FATHER: \t I know one of the wheels goes in here, right? ",FATHER: \t [noise],CHILD: \t that's not the wheel. ,666,know-declarative-declarative,know-declarative-declarative
"I know it's your birthday and you got presents, but you still have to eat your dinner.",charlie dinner.cha,1525,know,think,know,know,declarative,declarative,1,1.015,yes,charlie,dinner,FATHER: \t I don't know why.,FATHER: \t why?,CHILD: \t no.,"FATHER: \t well, it's hard to eat with a baseball mitt on.",MOTHER: \t well...,FATHER: \t that's why.,MOTHER: \t so we're gonna go up and...,"CHILD: \t but Dad, I wanna see it.",MOTHER: \t the big house but not...,"CHILD: \t Dad, it's my birthday and I get presents.","FATHER: \t I know it's your birthday and you got presents, but you still have to eat your dinner.",CHILD: \t I don't want any.,FATHER: \t sure you do.,666,know-declarative-declarative,know-declarative-declarative
