matched_term,file_name,match_line_number,know_option,think_option,verb,force,comp,subj,unique_id,child,interaction,context_pre_1,context_pre_2,context_pre_3,context_pre_4,context_pre_5,context_pre_6,context_pre_7,context_pre_8,context_pre_9,context_pre_10,target_line,context_post_1,context_post_2,ans1,ans0
"kate ,   you know what else they have at by the european ?",katie_dinner.cha,2135,know,think,know,interrogative,interrogative,2,6.052,katie,dinner,"*CHI: :	it's xxx.","*MOT: :	is not: xxx.","*CHI: :	jingle bells.","*CHI: :	jingle bells .","*CHI: :	are you sweeping.","*CHI: :	are you sleeping, brodder  John?","*CHI: :	brodder  John?","*CHI: :	morning bells are ringing.","*CHI: :	dingo dongo dingo.","*CHI: :	dingo  .","*AUN:	Kate ,   you know what else they have at by the european ?","*AUN: :	is they have their christmas decorations up.","*AUN: :	they're so cute.",know,think
"oh yeah , i know that's a_lot_of good stuff in there xxx .",katie_dinner.cha,2081,know,think,know,declarative,declarative,1,1.013,katie,dinner,"*MOT: :	we're not gonna eat here so you can have a xxx .","*AUN: :	xxx left over night is the night you guys go out .","*FAT: :	gonna finish your muffin?","*AUN: :	no, I'll xxx  .","*MOT: :	give her time.","*MOT: :	give her time.","*AUN: :	I like leftovers.","*MOT: :	well, there's  there's xxx and there's macaroni .","*CHI: :	&mm.","*CHI: :	&mm.","*AUN:	oh yeah , I know that's a_lot_of good stuff in there xxx .","*AUN: :	Katie, it's left over night.","*CHI: :	who?",know,think
i know what  that is .,ursula_fathertoy.cha,3671,know,think,know,declarative,interrogative,1,3.01,ursula,father,"*INV: :	I brought you a present for today's visit.","*CHI: :	look, Daddy.","*FAT: :	what's that, Urs?","*CHI: :	I don't know.","*CHI: :	I can't open it.","*CHI: :	it's too tight to xxx.","*INV: :	it is pretty tight.","*INV: :	that's just for today's visit.",*FAT: : .,"*INV: :	we have another present for her second visit .","*FAT:	I know what  that is .","*CHI: :	what is it?","*FAT: :	that's bubbles.",know,think
did his mother know he was here ?,frank_dinner.cha,341,know,think,know,interrogative,declarative,3,4.002,frank,dinner,"*FAT: :	you know why you didn't go to the pool?","*CHI: :	why?","*FAT: :	it was raining.","*CHI: :	oh.","*CHI: :	I already picked my salad.","*MOT: :	oh.","*MOT: :	you did pick your salad?","*MOT: :	that's healthy.","*MOT: :	now tell Daddy about how you played with Michael today.","*MOT: :	on the way home from school we met him playing alone and so he came","*FAT:	did his mother know he was here ?","*MOT: :	well he called her.","*FAT: :	he knows his phone number?",know,think
do they think they're gonna gonna catch the cat ?,david_fathertoy.cha,1856,know,think,think,interrogative,declarative,2,5.114,david,father,"*FAT: :	where's she going to go?","*CHI: :	into tunnel.","*CHI: :	into pipe.","*FAT: :	so.","*FAT: :	what did the other people do?","*CHI: :	I don't know.","*FAT: :	&ah?","*FAT: :	what are they doing in there?","*CHI: :	I don't know .","*FAT: :	xxx see.","*FAT:	do they think they're gonna gonna catch the cat ?","*CHI: :	hunhunh.","*FAT: :	so.",know,think
i thought he could fix  the thing .,guy_dinner.cha,437,knew,thought,think,declarative,declarative,1,2.18,guy,dinner,"*FAT: :	and as he recalls we pay some thirty odd dollars in repair in work","*CHI: :	Mom, can I come out and help?","*FAT: :	so.","*FAT: :	. we'll see.","*SAR: :	xxx.","*FAT: :	yeah.","*FAT: :	the problem with it is that &uh . we took it to somebody else to","*FAT: :	of course I'll hold him responsible because I paid him and he","*FAT: :	thank_you .","*FAT: :	he has_to &uh . .","*SAR:	I thought he could fix  the thing .","*FAT: :	xxx.","*FAT: :	well, I did, too.",know,think
